raw_folded,canonical_id
mk konsept 1 sitesi,mk_konsept_1
mk royal,mk_royal
mk teras,mk_teras
modern 2 sitesi,modern_2
mona vadi,mona_vadi
mrs konaklari,mrs_konaklari
muasir kent sitesi,muasir_kent
muhammet ali torunogullari sitesi,muhammet_ali_torunogullari
my house yuvacik,my_house_yuvacik
my house yuvacik sitesi,my_house_yuvacik
my life kartepe,my_life_kartepe
my world kartepe sitesi,my_world_kartepe
my yaka sitesi,my_yaka
myra 2 sitesi,myra_2
myra sitesi 3,myra_sitesi_3
myra-3 sitesi,myra_3
natural izmit,natural
naturapark evleri,naturapark
neff vizyon projesi,neff_vizyon
nergis evleri sitesi,nergis
new life kartepe,new_life_kartepe
nida torunogullari sitesi,nida_torunogullari
nikomedya can sitesi,nikomedya_can
nikomedya deniz sitesi,nikomedya_deniz
normcity,normcity
ocak sitesi,ocak
ogretmenler sitesi,ogretmenler
oksijen konaklari,oksijen_konaklari
olkar atasehir,olkar_atasehir
olkar safir,olkar_safir
olkar sakli vadi konagi,olkar_sakli_vadi_konagi
olkar vadi evleri,olkar_vadi
oluklu bagcesme evleri,oluklu_bagcesme
oluklu life sitesi,oluklu_life
oluklu ozon sitesi,oluklu_ozon
on cephe site,on_cephe
onur siteleri,onur_siteleri
onur sitesi,onur
onurkent sitesi,onurkent
orcun manzara evleri,orcun_manzara
orka life,orka_life
orka life 2 sitesi,orka_life_2
orka life sitesi,orka_life
osmanli konaklari,osmanli_konaklari
otoparkli site,otoparkli
ovunc sitesi,ovunc
oz mercan sitesi,oz_mercan
ozdilek atakent konutlari,ozdilek_atakent
ozemsan sitesi,ozemsan
ozgul evler sitesi,ozgul_evler
ozgur sitesi,ozgur
ozgururkent sitesi,ozgururkent
ozum sitesi,ozum
ozyapi sitesi,ozyapi
pakmaya deprem konutlari,pakmaya_deprem
palmiye sitesi,palmiye
panorama 3 sitesi,panorama_3
panoramakent 1,panoramakent_1
panoramakent 1 sitesi,panoramakent_1
panoramakent 2 sitesi,panoramakent_2
panoramakent 3,panoramakent_3
panoramakent 4,panoramakent_4
parla 100. yil sitesi,parla_100_yil
pasa park evleri 12,pasa_park_evleri_12
pasa park evleri 13,pasa_park_evleri_13
pasadag mh'de konsept talha park,pasadag_mh_de_konsept_talha_park
pasadagi evleri,pasadagi
pasapark evleri 12 site,pasapark_evleri_12
pera park evleri,pera_park
pinar sitesi,pinar
pirelli blok evleri sitesi,pirelli
