canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning,county
kartepe::dosteller,dosteller sitesi,1,2,"{""dosteller sitesi"": 36041.665}",0.0,,kartepe
kartepe::sudeks_dorukkent_sitesi_2,sudeks dorukkent sitesi 2,1,4,"{""sudeks dorukkent sitesi 2"": 36266.67}",0.0,,kartepe
kartepe::sudeks_buse_kent,sudeks buse kent sitesi,1,1,"{""sudeks buse kent sitesi"": 39285.71}",0.0,,kartepe
kartepe::atakent_evleri_136_ada,atakent evleri 136. ada,1,1,"{""atakent evleri 136. ada"": 40937.5}",0.0,,kartepe
kartepe::kartepe_ibrikdere_butik,kartepe ibrikdere satilik butik site,1,1,"{""kartepe ibrikdere satilik butik site"": 30000.0}",0.0,,kartepe
kartepe::vefakent_saklibahce,vefakent saklibahce | vefakent saklibahce konutlari,2,3,"{""vefakent saklibahce"": 54545.45, ""vefakent saklibahce konutlari"": 41666.665}",12878.784999999996,possible_bad_merge,kartepe
kartepe::krediye_eminevime_uygun_butik,krediye eminevime uygun butik site,1,1,"{""krediye eminevime uygun butik site"": 41990.0}",0.0,,kartepe
kartepe::sarimese_konaklari,sarimese konaklari | sarimese konaklari sitesi,2,5,"{""sarimese konaklari sitesi"": 45685.185, ""sarimese konaklari"": 35800.0}",9885.184999999998,possible_bad_merge,kartepe
kartepe::sultan_mehmet,sultan mehmet mah site,1,1,"{""sultan mehmet mah site"": 39040.0}",0.0,,kartepe
kartepe::kartepe_ataevler,kocaeli kartepe ataevler site,1,1,"{""kocaeli kartepe ataevler site"": 34166.67}",0.0,,kartepe
kartepe::masal,masal evleri sitesi,1,1,"{""masal evleri sitesi"": 48800.0}",0.0,,kartepe
kartepe::dorukpark,dorukpark evleri,1,7,"{""dorukpark evleri"": 39994.12}",0.0,,kartepe
kartepe::casaba,casaba residence,1,3,"{""casaba residence"": 61153.85}",0.0,,kartepe
kartepe::aykent,aykent sitesi,1,1,"{""aykent sitesi"": 29571.43}",0.0,,kartepe
kartepe::ars_den_kent_meydaninda,ars'den kent meydaninda site,1,1,"{""ars'den kent meydaninda site"": 46153.85}",0.0,,kartepe
kartepe::kartepe_ataevler_hursoy_city,kartepe ataevler hursoy city,1,1,"{""kartepe ataevler hursoy city"": 37307.69}",0.0,,kartepe
kartepe::merkezi_konum_havuzlu_ve_asansorlu,merkezi konum havuzlu ve asansorlu site,1,1,"{""merkezi konum havuzlu ve asansorlu site"": 45461.54}",0.0,,kartepe
kartepe::kamelya,kamelya sitesi,1,2,"{""kamelya sitesi"": 27518.475}",0.0,,kartepe
kartepe::kartepe_fatih_sultan_mehmet_mh_havuzlu,kartepe fatih sultan mehmet mh havuzlu site,1,1,"{""kartepe fatih sultan mehmet mh havuzlu site"": 43400.0}",0.0,,kartepe
kartepe::kaymakamlik_belediye_yani_tower,kaymakamlik belediye yani tower residence,1,1,"{""kaymakamlik belediye yani tower residence"": 63281.25}",0.0,,kartepe
kartepe::tuana_evleri_1,tuana evleri 1 sitesi,1,3,"{""tuana evleri 1 sitesi"": 41500.0}",0.0,,kartepe
kartepe::mk_elegance,mk elegance sitesi,1,2,"{""mk elegance sitesi"": 40487.725}",0.0,,kartepe
kartepe::480,480 residence sitesi,1,14,"{""480 residence sitesi"": 47083.335}",0.0,,kartepe
kartepe::151_ada,151 ada,1,1,"{""151 ada"": 31250.0}",0.0,,kartepe
kartepe::carpediem_kartepe,carpediem kartepe,1,3,"{""carpediem kartepe"": 55000.0}",0.0,,kartepe
kartepe::emar_delux,emar delux | emar delux sitesi,2,6,"{""emar delux sitesi"": 39655.17, ""emar delux"": 46363.64}",6708.470000000001,,kartepe
kartepe::doga_kent,doga kent sitesi,1,5,"{""doga kent sitesi"": 22833.33}",0.0,,kartepe
kartepe::new_life_kartepe,new life kartepe,1,1,"{""new life kartepe"": 43333.33}",0.0,,kartepe
kartepe::zaferan,zaferan sitesi,1,3,"{""zaferan sitesi"": 53990.0}",0.0,,kartepe
kartepe::yonca,yonca sitesi,1,1,"{""yonca sitesi"": 30384.62}",0.0,,kartepe
kartepe::sudeks_busekent,sudeks busekent sitesi,1,3,"{""sudeks busekent sitesi"": 39047.62}",0.0,,kartepe
kartepe::mk_konsept_1,mk konsept 1 sitesi,1,1,"{""mk konsept 1 sitesi"": 35632.18}",0.0,,kartepe
kartepe::atakent_evleri_152_ada,atakent evleri 152. ada,1,3,"{""atakent evleri 152. ada"": 40000.0}",0.0,,kartepe
kartepe::sifir,sifir site,1,1,"{""sifir site"": 42605.63}",0.0,,kartepe
kartepe::kartepe_ataevler_mahallesinde,kartepe ataevler mahallesinde site,1,1,"{""kartepe ataevler mahallesinde site"": 28928.57}",0.0,,kartepe
kartepe::ekomax_dan_kartepe,ekomax'dan kartepe site,1,1,"{""ekomax'dan kartepe site"": 29285.71}",0.0,,kartepe
kartepe::zeray_esil,zeray esil,1,14,"{""zeray esil"": 46788.72}",0.0,,kartepe
kartepe::kartepe_premium,kartepe premium sitesi,1,1,"{""kartepe premium sitesi"": 41666.67}",0.0,,kartepe
kartepe::yuksek_kredili_butik,yuksek kredili butik site,1,1,"{""yuksek kredili butik site"": 44990.91}",0.0,,kartepe
kartepe::saglik_kent,saglik kent konutlari sitesi,1,4,"{""saglik kent konutlari sitesi"": 45076.53}",0.0,,kartepe
kartepe::rose_garden,rose garden,1,1,"{""rose garden"": 46575.34}",0.0,,kartepe
kartepe::kartepe_fsm_bahcesehir_koleji_yakini_gulas,kartepe fsm bahcesehir koleji yakini gulas sitesi,1,1,"{""kartepe fsm bahcesehir koleji yakini gulas sitesi"": 49818.18}",0.0,,kartepe
kartepe::atakent_evleri_142_ada,atakent evleri 142. ada,1,2,"{""atakent evleri 142. ada"": 32222.22}",0.0,,kartepe
kartepe::kartepe_konutlari_2,kartepe konutlari 2. etap,1,5,"{""kartepe konutlari 2. etap"": 33333.33}",0.0,,kartepe
kartepe::my_life_kartepe,my life kartepe,1,3,"{""my life kartepe"": 56756.76}",0.0,,kartepe
kartepe::effect_kartepe,effect kartepe,1,2,"{""effect kartepe"": 52536.78}",0.0,,kartepe
kartepe::kartepe_de,kartepe'de site,1,2,"{""kartepe'de site"": 34750.0}",0.0,,kartepe
kartepe::tac_yaprak,tac yaprak evleri,1,1,"{""tac yaprak evleri"": 34800.0}",0.0,,kartepe
kartepe::derin_den_ert_gazi_mah,derin'den ert. gazi mah. site,1,1,"{""derin'den ert. gazi mah. site"": 37181.82}",0.0,,kartepe
kartepe::zeray_forum_anatolia,zeray forum anatolia sitesi,1,2,"{""zeray forum anatolia sitesi"": 32609.125}",0.0,,kartepe
kartepe::eksioglu_kardelen,eksioglu izmit kardelen evleri,1,6,"{""eksioglu izmit kardelen evleri"": 30386.955}",0.0,,kartepe
kartepe::kartepe_de_havuzlu,kartepe'de havuzlu site,1,2,"{""kartepe'de havuzlu site"": 40112.979999999996}",0.0,,kartepe
kartepe::guldeste_sitesi_7,guldeste sitesi 7,1,1,"{""guldeste sitesi 7"": 41346.15}",0.0,,kartepe
kartepe::k_h_eksioglu_insaat_limited_sirketi,k. h. eksioglu insaat limited sirketi,1,2,"{""k. h. eksioglu insaat limited sirketi"": 25687.5}",0.0,,kartepe
kartepe::pasa_park_evleri_12,pasa park evleri 12,1,2,"{""pasa park evleri 12"": 39402.354999999996}",0.0,,kartepe
kartepe::ertugrulgazi_bluepark,ertugrulgazi bluepark evleri,1,1,"{""ertugrulgazi bluepark evleri"": 40476.19}",0.0,,kartepe
kartepe::ertugrulgazi_de,ertugrulgazi'de site,1,1,"{""ertugrulgazi'de site"": 41666.67}",0.0,,kartepe
kartepe::bariskent,bariskent sitesi,1,1,"{""bariskent sitesi"": 38000.0}",0.0,,kartepe
kartepe::cinar,cinar sitesi,1,2,"{""cinar sitesi"": 37338.71}",0.0,,kartepe
kartepe::kartepe_kent,kartepe kent | kocaeli kartepe kent,2,5,"{""kartepe kent"": 53489.585, ""kocaeli kartepe kent"": 38529.41}",14960.174999999996,possible_bad_merge,kartepe
kartepe::genis_kulanisli,genis kulanisli site,1,1,"{""genis kulanisli site"": 33888.89}",0.0,,kartepe
kartepe::ertugrul_gazi_de,ertugrul gazi'de site,1,2,"{""ertugrul gazi'de site"": 55113.634999999995}",0.0,,kartepe
kartepe::kartepe_elizan,kartepe elizan evleri,1,1,"{""kartepe elizan evleri"": 37142.86}",0.0,,kartepe
kartepe::arslanbey_atakent,arslanbey atakent konutlari,1,1,"{""arslanbey atakent konutlari"": 32777.78}",0.0,,kartepe
kartepe::kartepe_cadde_life,kartepe cadde life sitesi,1,2,"{""kartepe cadde life sitesi"": 38029.56}",0.0,,kartepe
kartepe::deallife_dan_hasanpasada_butik,deallife'dan hasanpasada butik site,1,1,"{""deallife'dan hasanpasada butik site"": 35714.29}",0.0,,kartepe
kartepe::anadolu,anadolu sitesi,1,1,"{""anadolu sitesi"": 34709.68}",0.0,,kartepe
kartepe::finans_kuruluslarina_uygun_1_99_kredi_butik,finans kuruluslarina uygun 1.99 kredi butik site,1,1,"{""finans kuruluslarina uygun 1.99 kredi butik site"": 32294.12}",0.0,,kartepe
kartepe::kartepe_ertugrulgazi_havz_hmm_saunli,kartepe ertugrulgazi havz hmm saunli site,1,1,"{""kartepe ertugrulgazi havz hmm saunli site"": 45000.0}",0.0,,kartepe
kartepe::butik,butik site | satilik butik site,2,4,"{""butik site"": 34058.82, ""satilik butik site"": 41190.48}",7131.6600000000035,,kartepe
kartepe::vefakent_gulbahce,vefakent gulbahce konutlari,1,1,"{""vefakent gulbahce konutlari"": 47931.03}",0.0,,kartepe
kartepe::kartepe_aslanbey_vera_life,kartepe aslanbey vera life sitesi,1,1,"{""kartepe aslanbey vera life sitesi"": 30526.32}",0.0,,kartepe
kartepe::kartele,kocaeli kartele site,1,1,"{""kocaeli kartele site"": 44193.55}",0.0,,kartepe
kartepe::guldeste_sitesi_5,guldeste sitesi 5,1,1,"{""guldeste sitesi 5"": 34454.55}",0.0,,kartepe
kartepe::ataevlerde,ataevlerde site,1,1,"{""ataevlerde site"": 37347.83}",0.0,,kartepe
kartepe::kartepe_fsm_mah,kartepe fsm.mah site,1,1,"{""kartepe fsm.mah site"": 36785.71}",0.0,,kartepe
kartepe::1_99_kredi_fsm_de_butik,1.99 kredi fsm de butik site,1,1,"{""1.99 kredi fsm de butik site"": 30593.75}",0.0,,kartepe
kartepe::kartepe_aslanbey_veralife,kartepe aslanbey veralife sitesi,1,1,"{""kartepe aslanbey veralife sitesi"": 33368.42}",0.0,,kartepe
kartepe::gate_41_masukiye,gate 41 masukiye,1,6,"{""gate 41 masukiye"": 48083.335}",0.0,,kartepe
kartepe::atakent_evleri_132_ada,atakent evleri 132. ada,1,1,"{""atakent evleri 132. ada"": 39987.5}",0.0,,kartepe
kartepe::bahcekent_konutlari,bahcekent,1,1,"{""bahcekent"": 31666.67}",0.0,,kartepe
kartepe::gokbal_sirius,gokbal sirius sitesi,1,1,"{""gokbal sirius sitesi"": 48222.22}",0.0,,kartepe
kartepe::pasa_park_evleri_13,pasa park evleri 13,1,2,"{""pasa park evleri 13"": 42766.455}",0.0,,kartepe
kartepe::zeray_esil_kartepe,zeray esil kartepe,1,1,"{""zeray esil kartepe"": 49565.22}",0.0,,kartepe
izmit::gundogdu_kalici,izmit gundogdu kalici konutlari,1,1,"{""izmit gundogdu kalici konutlari"": 34800.0}",0.0,,izmit
izmit::mira,mira evleri,1,3,"{""mira evleri"": 43157.89}",0.0,,izmit
izmit::kabaoglu,izmit kabaoglu site,1,1,"{""izmit kabaoglu site"": 64486.57}",0.0,,izmit
