county,feature,group,positive_count,negative_count,local_effect,global_effect,smoothed_effect,reliability_level
Başiskele,view_bosphorus,view,6,,-0.012951347506029156,-0.002953174896192401,-0.012951347506029156,global_fallback
Gölcük,view_bosphorus,view,5,,0.008254021917515786,-0.002953174896192401,0.008254021917515786,global_fallback
Karamürsel,view_bosphorus,view,12,,0.0035763001557122154,-0.002953174896192401,0.0035763001557122154,global_fallback
İzmit,view_bosphorus,view,9,,-0.0019953035623285842,-0.002953174896192401,-0.0019953035623285842,global_fallback
Başiskele,view_city,view,362,,0.011462776317430763,-0.008413854808692278,0.011462776317430763,county
Gölcük,view_city,view,206,,-0.011973496650915613,-0.008413854808692278,-0.011973496650915613,county
Karamürsel,view_city,view,77,,-0.06228676136645195,-0.008413854808692278,-0.06228676136645195,county
İzmit,view_city,view,717,,-0.007861087508444282,-0.008413854808692278,-0.007861087508444282,county
Başiskele,view_lake,view,2,,-0.008707993224183141,-0.008707993224183141,-0.008707993224183141,global_fallback
Gölcük,view_lake,view,0,,-0.008707993224183141,-0.008707993224183141,-0.008707993224183141,global_fallback
Karamürsel,view_lake,view,1,,-0.008707993224183141,-0.008707993224183141,-0.008707993224183141,global_fallback
İzmit,view_lake,view,33,,-0.008432276525315165,-0.008707993224183141,-0.008432276525315165,county
Başiskele,view_nature,view,391,,0.004898994073317511,0.009188347982192369,0.004898994073317511,county
Gölcük,view_nature,view,165,,0.018867357745760996,0.009188347982192369,0.018867357745760996,county
Karamürsel,view_nature,view,60,,0.007202612765764888,0.009188347982192369,0.007202612765764888,county
İzmit,view_nature,view,381,,0.00399406552347971,0.009188347982192369,0.00399406552347971,county
Başiskele,view_park_green,view,429,,0.008091783624644813,0.00722331105518581,0.008091783624644813,county
Gölcük,view_park_green,view,194,,0.011467943074060535,0.00722331105518581,0.011467943074060535,county
