site_project_id,n,mean_actual,mean_pred,mean_residual
basiskele::yonca_evleri_2,1,41666.67,38474.87178911337,-3191.798210886627
izmit::remax_dream_den_80_kredi_eminevime_uygun,1,41428.57,38252.86287437209,-3175.7071256279087
golcuk::olkar_atasehir,2,45792.5,42619.63973650575,-3172.860263494251
kartepe::atakent_evleri_136_ada,1,40937.5,37765.00322713882,-3172.496772861181
golcuk::supark_royal,1,48181.82,45011.061037326035,-3170.7589626739646
izmit::ufuk,2,30916.67,27764.51875635187,-3152.15124364813
golcuk::75_yil,1,30000.0,26854.46790756062,-3145.532092439382
basiskele::zeray_perla,16,50309.36125,47171.88636076592,-3137.47488923408
golcuk::donanma_olkar_vadi,1,32727.27,29605.08207596537,-3122.1879240346316
kartepe::kartepe_kent,5,50117.1,47008.81488141,-3108.285118590006
izmit::lilyum_park_4,2,54537.035,51471.18055433617,-3065.85444566383
golcuk::yasam,1,25000.0,21937.318350122245,-3062.6816498777553
kartepe::aras_gayrimenkulden_fsm_de,1,42857.14,39823.92113148016,-3033.2188685198416
izmit::vera_house_1,3,38588.89,35574.40745476803,-3014.4825452319687
izmit::armonia,4,61051.265,58040.41233760907,-3010.8526623909256
izmit::tanyildiz_izmit_kurucesme_butik,1,39047.62,36047.188712738614,-3000.431287261388
basiskele::manaryuvacik,1,48529.41,45561.974906000556,-2967.4350939994474
kartepe::zeray_esil,14,48774.09071428572,45823.82534702413,-2950.2653672615806
izmit::dogus,1,30740.74,27793.4938937751,-2947.246106224902
izmit::kavanium_833_ada,12,55476.541666666664,52539.58078793913,-2936.960878727537
basiskele::basiskelede_prejtijli,1,35000.0,32071.72952083015,-2928.270479169849
izmit::umuttepe_yolu_uzeri,1,54666.67,51774.46069150367,-2892.209308496327
kartepe::merkezi_konum_havuzlu_ve_asansorlu,1,45461.54,42582.616949483534,-2878.923050516467
izmit::solin_konutlari_1,1,38035.71,35175.08380737935,-2860.62619262065
izmit::listing_portal_havuz_ve_vadi,1,38888.89,36067.605964730225,-2821.284035269775
golcuk::80_ine_kredi_imkamli,1,40526.32,37717.924498921995,-2808.3955010780046
izmit::turkoz,2,56742.425,53934.625867587354,-2807.7991324126415
basiskele::basiskele_fatih,1,43062.5,40272.02810795639,-2790.4718920436135
izmit::ara,1,46315.79,43565.86572904397,-2749.9242709560276
basiskele::panoramakent_1,5,45408.333999999995,42667.40270867538,-2740.9312913246276
basiskele::mahall_yuvacik_2,3,43727.6,40995.93153896926,-2731.6684610307398
basiskele::secret_garden,2,42666.665,40004.351155990866,-2662.3138440091316
basiskele::erguvan_konaklari,2,38013.89,35431.68067586498,-2582.2093241350194
izmit::yesilova_konaklari,1,37647.06,35083.53883717271,-2563.521162827288
izmit::kardelen,1,34950.0,32394.770508459696,-2555.2294915403036
izmit::yuvam_turgut_toplu,10,36586.914000000004,34087.90696558341,-2499.007034416587
kartepe::sudeks_busekent,3,37950.31333333333,35457.90366619433,-2492.409667139002
izmit::dunya_bankasi_konutlari_9_ada,1,35263.16,32810.49836641809,-2452.6616335819126
basiskele::royal_park,1,35714.29,33265.49672298866,-2448.7932770113403
basiskele::caglayan_modern_yuvacik,1,41900.0,39474.08417017461,-2425.9158298253897
