county,feature,group,positive_count,negative_count,local_effect,global_effect,smoothed_effect,reliability_level
İzmit,near_mall,nearby,1118,,0.008984802196500538,0.010762106326081877,0.008984802196500538,county
Başiskele,near_market,nearby,1173,,-0.0029206686676853466,0.002372814294889558,-0.0029206686676853466,county
Gölcük,near_market,nearby,673,,-0.002945385453224478,0.002372814294889558,-0.002945385453224478,county
Karamürsel,near_market,nearby,204,,-0.02816111576987147,0.002372814294889558,-0.02816111576987147,county
Kartepe,near_market,nearby,569,,0.016978192389114462,0.002372814294889558,0.016978192389114462,county
İzmit,near_market,nearby,1649,,0.0008845139330995097,0.002372814294889558,0.0008845139330995097,county
Başiskele,near_mosque,nearby,1116,,-0.013606018780788052,0.00040537159816711466,-0.013606018780788052,county
Gölcük,near_mosque,nearby,623,,-0.003478622838133479,0.00040537159816711466,-0.003478622838133479,county
Karamürsel,near_mosque,nearby,195,,-0.05386151111501328,0.00040537159816711466,-0.05386151111501328,county
Kartepe,near_mosque,nearby,538,,0.02056675377213129,0.00040537159816711466,0.02056675377213129,county
İzmit,near_mosque,nearby,1555,,0.0051907344265347205,0.00040537159816711466,0.0051907344265347205,county
Başiskele,near_park,nearby,1027,,-0.01476622002011646,-0.0037130845048842787,-0.01476622002011646,county
Gölcük,near_park,nearby,562,,-0.008176704174243208,-0.0037130845048842787,-0.008176704174243208,county
Karamürsel,near_park,nearby,161,,-0.0361050373197521,-0.0037130845048842787,-0.0361050373197521,county
Kartepe,near_park,nearby,498,,0.02335480024093175,-0.0037130845048842787,0.02335480024093175,county
İzmit,near_park,nearby,1431,,-0.0032180407929620343,-0.0037130845048842787,-0.0032180407929620343,county
Başiskele,near_pharmacy,nearby,1022,,-0.002248419147880559,0.0017029408690101278,-0.002248419147880559,county
Gölcük,near_pharmacy,nearby,548,,-0.0031899012907923956,0.0017029408690101278,-0.0031899012907923956,county
Karamürsel,near_pharmacy,nearby,159,,-0.03628548420207149,0.0017029408690101278,-0.03628548420207149,county
