site_project_id,n,mean_actual,mean_pred,mean_residual
golcuk::elit_park,2,45825.06,41292.2647501672,-4532.79524983279
basiskele::orka_life_2,8,50780.725,46365.299460974406,-4415.425539025592
basiskele::yesilyurt_mah_durupark,1,48058.25,43661.47445116602,-4396.775548833983
izmit::asrin_saraylari_2,3,41368.943333333336,36989.21825981873,-4379.7250735146035
kartepe::sarimese_konaklari,5,44580.364,40234.14599083599,-4346.218009164011
izmit::yildiz_konutlari,18,57387.99055555555,53089.015118793315,-4298.975436762241
izmit::flora_park,2,70320.51000000001,66051.21177980321,-4269.2982201967825
golcuk::sahan_torunogullari,2,45662.075,41400.14955587723,-4261.925444122771
golcuk::tasdan_premium_city,2,50333.335,46086.48553401383,-4246.849465986172
basiskele::pera_park,1,38518.52,34353.98785891421,-4164.532141085787
izmit::selale,1,48484.85,44348.04101787659,-4136.80898212341
izmit::masiva_kozluk,2,47485.795,43365.59140842782,-4120.203591572183
izmit::alikahya_ve_dumlupinar_sinirinda,1,59090.91,54972.45443820038,-4118.455561799623
izmit::kavanium_833_ada,12,55476.541666666664,51381.77449588298,-4094.7671707836876
basiskele::yuvacik_eksioglu_metsan,1,54597.7,50528.57396824361,-4069.1260317563865
golcuk::turkuaz,2,40625.0,36558.04623739652,-4066.95376260348
izmit::yelken_park,2,39754.9,35710.65118752238,-4044.248812477621
basiskele::panoramakent_2,2,46385.35,42360.59366727086,-4024.756332729139
izmit::gulen,1,45833.33,41816.23326922901,-4017.0967307709943
basiskele::lotus,2,53273.81,49263.34658837918,-4010.463411620818
izmit::gulacti_deniz_konaklari,2,43517.854999999996,39541.145512253664,-3976.709487746335
izmit::yildizlar_tepesi,15,52823.433333333334,48869.60489470535,-3953.828438627982
basiskele::isil,1,32692.31,28795.641109347434,-3896.668890652567
kartepe::zeray_esil,14,48774.09071428572,44892.64963913931,-3881.4410751464043
izmit::bagtepe,1,55625.0,51744.39979416333,-3880.600205836672
izmit::plajyolu,1,38461.54,34597.199192224005,-3864.340807775996
kartepe::remax_myra_dan_kartepe_fsm_de,1,44827.59,40990.869009124515,-3836.720990875481
izmit::kavanium_evleri_815_ada,1,49679.49,45888.84268696712,-3790.6473130328814
karamursel::kardelen,1,29475.0,25687.478806043724,-3787.521193956276
kartepe::atakent_evleri_131_ada,1,35416.67,31659.295606394342,-3757.374393605656
basiskele::yuz_yapi_dan_deniz_ve_vadi,1,43421.05,39736.102705674784,-3684.9472943252185
izmit::dunya_bankasi_konutlari_14_ada,1,42941.18,39302.054029566774,-3639.125970433226
izmit::hanife_sultan,2,52344.990000000005,48707.46363813097,-3637.526361869037
izmit::sea_life_41,2,53775.604999999996,50156.849036867854,-3618.7559631321456
izmit::umutkent,3,50478.55333333334,46864.20823947571,-3614.3450938576207
izmit::deniz_manzarali,1,39400.0,35790.79596715462,-3609.2040328453804
izmit::yelkent_alfa,3,69689.15666666666,66105.31380616252,-3583.842860504148
golcuk::uplife_topcular,1,43750.0,40191.163750556654,-3558.836249443346
golcuk::metropolitan_grey_effect,2,42926.94,39377.294066748625,-3549.6459332513696
golcuk::cb_envoy_dan_golcuk_yazlik_ta,1,42045.45,38511.501562424004,-3533.948437575993
izmit::solin_konutlari_1,1,38035.71,34503.40095176946,-3532.3090482305415
kartepe::marmara_34,3,49279.55333333334,45755.404162584884,-3524.149170748455
golcuk::golcuk_mah_faralya,1,41176.47,37701.143454149635,-3475.3265458503665
kartepe::kartepe_kent,5,50117.1,46661.958376609655,-3455.1416233903437
kartepe::masal,1,48800.0,45380.3765846941,-3419.6234153058977
basiskele::manaryuvacik,1,48529.41,45112.99598256503,-3416.414017434974
basiskele::zeray_perla,16,50309.36125,46918.43736795691,-3390.923882043089
kartepe::ars_den_kent_meydaninda,1,46153.85,42782.87577900908,-3370.9742209909164
golcuk::donanma_olkar_vadi,1,32727.27,29365.47676798635,-3361.7932320136497
kartepe::atakent_evleri_132_ada,1,39987.5,36651.32872849981,-3336.1712715001922
izmit::remax_dream_den_80_kredi_eminevime_uygun,1,41428.57,38099.77804951802,-3328.79195048198
izmit::bagcesme_kavanium,1,42761.9,39466.35337176248,-3295.54662823752
izmit::asayra_dan_yuvam_akarca,1,42692.31,39405.74742851859,-3286.5625714814087
izmit::erenkaya_park,2,50283.25,46999.77568981405,-3283.474310185946
golcuk::ayse_torunogullari,1,39285.71,36018.3280566968,-3267.3819433031967
basiskele::yonca_evleri_2,1,41666.67,38453.77471265796,-3212.895287342035
izmit::armonia,4,61051.265,57848.106335152996,-3203.1586648470056
kartepe::atakent_evleri_136_ada,1,40937.5,37751.521404570725,-3185.9785954292747
basiskele::basiskelede_prejtijli,1,35000.0,31827.084352251848,-3172.915647748152
izmit::ara,1,46315.79,43156.26043154289,-3159.52956845711
golcuk::supark_royal,1,48181.82,45025.68316069021,-3156.1368393097873
basiskele::secret_garden,2,42666.665,39515.00031269157,-3151.6646873084283
basiskele::mahall_yuvacik_2,3,43727.6,40633.85094166679,-3093.7490583332133
izmit::listing_portal_havuz_ve_vadi,1,38888.89,35814.60086589147,-3074.289134108527
izmit::vera_house_1,3,38588.89,35517.03221493828,-3071.85778506172
golcuk::yasam,1,25000.0,21932.86754262557,-3067.1324573744314
golcuk::75_yil,1,30000.0,26951.10175012464,-3048.898249875361
golcuk::olkar_atasehir,2,45792.5,42746.136148761754,-3046.363851238246
izmit::ufuk,2,30916.67,27906.901139017573,-3009.7688609824236
izmit::armada_kent_5,2,72795.455,69795.85972589205,-2999.59527410796
basiskele::erguvan_konaklari,2,38013.89,35022.75324527694,-2991.1367547230657
izmit::dogus,1,30740.74,27752.570710781078,-2988.169289218924
izmit::tanyildiz_izmit_kurucesme_butik,1,39047.62,36084.14631661158,-2963.4736833884235
golcuk::80_ine_kredi_imkamli,1,40526.32,37567.3283011806,-2958.991698819402
izmit::terrace_yahyakaptan_2,1,54285.71,51333.75890815225,-2951.9510918477463
izmit::bagcesme_modern,7,50755.14,47849.17863397335,-2905.9613660266477
izmit::turkoz,2,56742.425,53847.85530185963,-2894.569698140367
basiskele::royal_park,1,35714.29,32879.94711403584,-2834.3428859641645
basiskele::caglayan_modern_yuvacik,1,41900.0,39101.64223393524,-2798.357766064757
basiskele::vira,1,35348.84,32606.331608460394,-2742.5083915396026
izmit::green_hill_city,4,50742.815,48001.200393759136,-2741.6146062408698
basiskele::basiskele_fatih,1,43062.5,40324.37524427647,-2738.124755723533
kartepe::dubleks_kent,1,37458.33,34740.96312298583,-2717.366877014174
izmit::yesilova_konaklari,1,37647.06,34954.86048033576,-2692.1995196642383
basiskele::panoramakent_1,5,45408.333999999995,42751.96538435231,-2656.368615647688
izmit::umuttepe_yolu_uzeri,1,54666.67,52019.25376255676,-2647.4162374432417
golcuk::melisa,1,42857.14,40216.66839756117,-2640.4716024388326
izmit::sehr_i_naz,2,46416.665,43795.5526477542,-2621.112352245804
basiskele::marmara_elit_yapi_kooperatifi,1,40347.83,37748.11126497522,-2599.718735024784
kartepe::sudeks_busekent,3,37950.31333333333,35398.66078955058,-2551.6525437827563
basiskele::alizepark_city,5,46178.534,43658.061513270404,-2520.4724867295968
izmit::lilyum_park_4,2,54537.035,52022.03752668531,-2514.997473314692
izmit::kardelen,1,34950.0,32460.707092535373,-2489.292907464627
kartepe::aras_gayrimenkulden_fsm_de,1,42857.14,40406.80289989397,-2450.3371001060295
kartepe::a_plus,1,38043.48,35630.44694074677,-2413.0330592532337
basiskele::manar_terrace,2,40307.92,37907.93683992825,-2399.9831600717553
golcuk::hisareynde,1,36551.72,34167.82505358105,-2383.89494641895
golcuk::goztepe,1,33071.43,30695.713322345142,-2375.7166776548584
izmit::myra_sitesi_3,6,50248.76666666666,47899.02460797779,-2349.742058688879
basiskele::vizyon_dan_basiskelede,1,48625.0,46276.123066916276,-2348.876933083724
izmit::dunya_bankasi_konutlari_9_ada,1,35263.16,32922.8889421992,-2340.2710578008046
golcuk::rakicioglu,1,27517.24,25182.174129361112,-2335.0658706388895
basiskele::mona_vadi,1,31276.6,28993.84703053255,-2282.7529694674486
kartepe::kent_meydaninda_1_99_krediyle,1,43809.51,41533.03392068962,-2276.476079310385
kartepe::merkezi_konum_havuzlu_ve_asansorlu,1,45461.54,43192.36499141516,-2269.17500858484
izmit::kavanium_bagcesme,1,52777.78,50519.578844790856,-2258.2011552091426
kartepe::meltem,1,35769.23,33531.81428213173,-2237.4157178682726
basiskele::oksijen_konaklari,3,43522.72666666666,41286.159482104325,-2236.5671845623388
basiskele::manar_yuvacik_3,2,40111.365000000005,37919.60425800641,-2191.7607419935885
izmit::ates,1,27083.33,24894.30469277392,-2189.025307226082
izmit::hatipoglu,3,35926.87333333333,33739.05988615646,-2187.8134471768776
izmit::armadakent_3,3,72652.46333333333,70467.37260003218,-2185.090733301166
kartepe::sifir,1,42605.63,40427.30160180001,-2178.328398199985
izmit::kavanium,2,53337.9,51160.45892704412,-2177.441072955884
basiskele::kredili_dusuk_faiz_yuksek_konforlu,1,50000.0,47830.03184858942,-2169.9681514105832
kartepe::ekomax_dan_kartpe_fsm_mah_havzlu_asanslu,1,46428.57,44265.33328979453,-2163.2367102054704
kartepe::mercan,2,40416.665,38272.595945145265,-2144.0690548547354
izmit::remax_dream_dunya_bankasi,1,35263.16,33122.62545976983,-2140.5345402301755
izmit::yuvam_turgut_toplu,10,36586.914000000004,34450.038000654546,-2136.875999345457
golcuk::sarayli_kalici_konutlari_182_ada,1,33636.36,31561.14768589822,-2075.21231410178
basiskele::aydinkent_kalici_konutlari_20_ada,1,34000.0,31936.57953898271,-2063.420461017289
izmit::yelkent_tetra,4,39168.42,37118.00686938042,-2050.4131306195814
kartepe::yatirimlik_kiracili,1,40500.0,38450.66114861662,-2049.338851383378
izmit::kiptas_cinar,6,44028.40666666667,41979.939310375135,-2048.467356291532
golcuk::cb_envoy_golcuk_mh_faralya,1,33544.3,31512.19933628432,-2032.1006637156825
golcuk::balaban_city,2,43620.130000000005,41633.67159855247,-1986.4584014475295
kartepe::tac_yaprak,1,34800.0,32818.4494288289,-1981.5505711711012
izmit::jasmin_country,2,44502.84,42529.759299136815,-1973.0807008631855
izmit::cukurbag_mah_guneskent,1,31818.18,29862.854495013475,-1955.3255049865256
golcuk::civan_park,1,36944.44,34992.7154838033,-1951.7245161967003
izmit::izmitkent_konutlari_3,17,42559.21,40615.492409639584,-1943.7175903604173
izmit::iztop_park_evleri_831_ada,3,49912.496666666666,47972.82652307628,-1939.6701435903888
kartepe::yuksek_kredili_butik,1,44990.91,43060.261522488894,-1930.6484775111094
izmit::iz_tepe,1,34033.61,32127.445277670708,-1906.164722329293
izmit::mihrimah,1,40166.67,38288.25581911196,-1878.4141808880377
golcuk::toki,2,33787.88,31924.279560267256,-1863.6004397327397
basiskele::pasadagi,1,36756.76,34915.77326531484,-1840.9867346851606
basiskele::torpidocular,1,30769.23,28942.33921749673,-1826.8907825032693
basiskele::tanta_emlak_tan,2,40000.0,38178.82215243723,-1821.1778475627725
karamursel::altinkent,1,36206.9,34396.28676516775,-1810.6132348322499
kartepe::neff_vizyon,1,44615.38,42819.67837177466,-1795.701628225339
golcuk::100_yil_bariser,2,46964.285,45194.00245414193,-1770.2825458580664
izmit::ekol_den_karadenizliler_mah_hls_yapi_da,1,40761.9,39051.59845863255,-1710.3015413674511
golcuk::golcuk_hisareyn_de,1,31666.67,29959.886884854102,-1706.7831151458959
izmit::mamikler,1,40434.78,38749.24513285416,-1685.5348671458414
izmit::dunya_bankasi_konutlari_24_ada,1,36388.89,34732.80598618893,-1656.0840138110725
golcuk::kavanium_2,4,43643.520000000004,42003.940820692915,-1639.5791793070857
basiskele::pasadag_100_yil_parla,1,50000.0,48426.83420886196,-1573.165791138039
golcuk::bayindirlik_kalici_konutlari_539_ada,1,26923.08,25362.191597839523,-1560.888402160479
izmit::mk_teras,2,47500.0,45939.38365256952,-1560.616347430474
izmit::kavanyum_bagcesme,2,40805.085,39255.0354995565,-1550.0495004434997
izmit::kurucesme,1,31818.18,30277.840814497842,-1540.3391855021582
basiskele::yuvacik_kalici_konutlari_1_ada,1,34347.83,32810.955616894105,-1536.8743831058964
kartepe::ena_gayrimenkulden_kartepe_s_royal2,1,48000.0,46470.10565423752,-1529.8943457624773
basiskele::manar_yuvacik,2,40638.57,39115.8203717557,-1522.7496282443026
basiskele::supark_megaron,1,41319.44,39801.04696897869,-1518.393031021311
izmit::vesta_park,6,45119.29,43623.53524328533,-1495.7547567146648
kartepe::kartepe_aslanbey_veralife,1,33368.42,31874.52957168682,-1493.8904283131778
golcuk::beyaz_vadi,1,35227.27,33753.814773210746,-1473.4552267892504
kartepe::zeray_effect_kartepe,4,49553.3025,48080.72987744385,-1472.572622556143
izmit::menekse_yasamkent,1,74193.55,72747.87406912152,-1445.6759308784822
basiskele::armoni_2,1,49583.33,48137.68665710447,-1445.6433428955352
kartepe::sudeks_buse_kent,1,39285.71,37869.64361296006,-1416.0663870399367
kartepe::kartepe_ertugrulgazi_havz_hmm_saunli,1,45000.0,43592.41439806748,-1407.585601932522
basiskele::erturk,1,42400.0,40992.67486245153,-1407.3251375484688
