site_project_id,n,mean_actual,mean_pred,mean_residual
derince::derince_yavuzsultan_da,1,30000.0,28622.013225299917,-1377.9867747000826
izmit::mamikler,1,40434.78,39090.17370395547,-1344.606296044527
derince::safir_konaklari,4,52247.5225,50968.37295993307,-1279.1495400669337
basiskele::tinaztepede,1,48843.28,47579.385373004734,-1263.8946269952648
cayirova::birr_sehir,1,46448.09,45218.857853794725,-1229.2321462052714
kartepe::ritim_kartepe,1,47627.74,46411.956120672396,-1215.7838793276023
derince::omur_siteleri,1,26800.0,25661.281800975958,-1138.7181990240424
derince::anil_siteleri,1,26083.33,25024.480922361367,-1058.8490776386352
izmit::emniyetciler,1,25000.0,23961.66297240183,-1038.3370275981688
basiskele::royal_country,3,44900.746666666666,43893.856114942195,-1006.8905517244784
izmit::plajyolu,1,38461.54,37456.11619704416,-1005.4238029558401
derince::derince_dumlupinarda,1,27000.0,25995.64170203078,-1004.3582979692183
derince::derince_park,3,42992.443333333336,42001.28742486051,-991.1559084728264
kartepe::kartepe_kent_meydaninda,3,46111.113333333335,45138.692780042205,-972.4205532911243
korfez::gizli_bahce_konaklari,3,37977.950000000004,37007.01981941767,-970.930180582327
golcuk::degirmendere_konaklari,1,40800.0,39849.73257437199,-950.2674256280079
korfez::zafer,1,29130.43,28201.659939116387,-928.770060883613
basiskele::dongelde,1,30774.19,29864.197727268373,-909.9922727316261
golcuk::azra_6,1,41000.0,40124.22821672782,-875.7717832721828
derince::erdem,1,26636.36,25788.38580230887,-847.9741976911318
basiskele::zeray_gunesi,7,42467.67428571428,41631.85927719002,-835.8150085242606
korfez::emin_aga,1,26818.18,25992.785539411067,-825.3944605889337
kartepe::emar_delux,3,40716.666666666664,39897.05935362734,-819.6073130393294
golcuk::remaxcakra_omer_onayci_dan,1,39166.67,38543.70306760036,-622.966932399635
golcuk::elit_park,1,44230.77,43611.43656880172,-619.3334311982762
izmit::kent_konutlari_2,2,39792.880000000005,39175.515341665334,-617.3646583346672
basiskele::aydinkent_kalici_konutlari_19_ada,1,30454.55,29894.446040602706,-560.1039593972928
kartepe::tuana,3,36056.329999999994,35539.345852572005,-516.9841474279916
cayirova::toki_evleri,1,46315.79,45812.756226277925,-503.03377372207615
basiskele::twinkle_life,2,43676.134999999995,43248.38184159811,-427.7531584018907
korfez::er_ay,2,27916.67,27498.508184127335,-418.1618158726633
kartepe::garden_kartepe_2,1,36875.0,36458.028346977204,-416.9716530227961
golcuk::satilik_daire_toki_konutlari,1,35909.09,35505.81141531722,-403.27858468277554
korfez::ulas,1,26153.85,25770.878364168377,-382.9716358316218
izmit::sepetci_toki,4,41820.67,41499.339259779845,-321.33074022015535
golcuk::olkar_atasehir,2,45792.5,45519.90927585418,-272.5907241458226
missing,2328,39094.32214347079,38835.94290485301,-258.37923861778404
golcuk::sehri_torunoglu,1,37800.0,37564.80784442393,-235.19215557607095
basiskele::platinium,1,36176.47,35943.69586094299,-232.77413905700814
basiskele::manar_terrace,1,35454.55,35233.95998503244,-220.59001496756537
cayirova::aksede,1,45307.69,45122.44868161461,-185.24131838539324
