osm_id,osm_type,lat,lon,category,subcategory,name,amenity,shop,leisure,highway,public_transport,railway
5959796226,node,40.9503905,29.4062571,transport,bus_stop,İstanbul Park,,,,bus_stop,platform,
5959796227,node,40.9503307,29.4067966,transport,bus_stop,İstanbul Park,,,,bus_stop,platform,
5978058667,node,40.7071375,30.1070237,daily,cafe,İnci Cafe,cafe,,,,,
5995158106,node,40.7623403,29.9182716,transport,stop_position,Tren Garı,,,,,stop_position,tram_stop
5995161470,node,40.761409,29.9108904,transport,stop_position,Sekapark,,,,,stop_position,tram_stop
6178502220,node,40.7991404,29.4374107,daily,cafe,Antik Kafe,cafe,,,,,
6178502222,node,40.8000001,29.4374351,daily,restaurant,Mersin Tantuni,restaurant,,,,,
6180448825,node,40.786791,29.401292,transport,bus_stop,1519.Sokak,,,,bus_stop,platform,
6180448826,node,40.78671,29.401102,transport,bus_stop,1519.Sokak,,,,bus_stop,platform,
6180448827,node,40.7853302,29.4052454,transport,bus_stop,Makasbaşı,,,,bus_stop,platform,
6180448828,node,40.7856096,29.404896,transport,bus_stop,Makasbaşı,,,,bus_stop,platform,
6180448829,node,40.783563,29.410248,transport,bus_stop,Gebze İstasyonu,,,,bus_stop,platform,
6181447926,node,40.7991151,29.4365774,daily,convenience,Mopaş,,convenience,,,,
6186666295,node,40.8023576,29.4396395,daily,convenience,Uzun Büfe,,convenience,,,,
6188867879,node,40.8019126,29.4377997,daily,restaurant,Sait Çiğköfte,restaurant,,,,,
6188876314,node,40.8015156,29.4382092,daily,cafe,Yıldırım Kıraathanesi,cafe,,,,,
6188876331,node,40.8028088,29.4440564,daily,convenience,Park Büfe,,convenience,,,,
6190505887,node,40.8000005,29.4380754,daily,convenience,Kardeşler Market,,convenience,,,,
6191515908,node,40.6838056,29.925932,health,pharmacy,Beril Eczanesi,pharmacy,,,,,
6195584876,node,40.8024275,29.4401795,other,driving_school,GİRBAY Sürücü Kursu,driving_school,,,,,
6195584877,node,40.8024228,29.4401148,daily,bank,İş Bankası,bank,,,,,
6195584878,node,40.8023902,29.440084,daily,bank,Vakıf Bankası,bank,,,,,
6195586335,node,40.8025899,29.4408186,daily,convenience,,,convenience,,,,
6195586336,node,40.8026582,29.4410019,daily,supermarket,A101,,supermarket,,,,
6195586337,node,40.8026274,29.4411372,daily,bank,Ziraat Bankası,bank,,,,,
6195586338,node,40.8027935,29.4418875,daily,convenience,İMAMOĞLU,,convenience,,,,
6196162007,node,40.881018,29.402285,transport,bus_stop,Hudut Kapısı,,,,bus_stop,platform,
6196162008,node,40.881094,29.402158,transport,bus_stop,Hudut Kapısı,,,,bus_stop,platform,
6196162009,node,40.883612,29.405019,transport,bus_stop,7. Cadde,,,,bus_stop,platform,
6196162011,node,40.884375,29.407623,transport,bus_stop,2. Cadde,,,,bus_stop,platform,
6196162013,node,40.884542,29.407496,transport,bus_stop,2. Cadde,,,,bus_stop,platform,
6197154777,node,40.8536554,29.4022866,transport,bus_stop,Sevda Sokak,,,,bus_stop,platform,
6197154778,node,40.8518054,29.4044376,transport,bus_stop,Esenkaya Sokak,,,,bus_stop,platform,
6197154779,node,40.8500115,29.4042983,transport,bus_stop,Sarmaşık Sokak,,,,bus_stop,platform,
6197154780,node,40.8468565,29.404486,transport,bus_stop,Rezene Sokak,,,,bus_stop,platform,
6197154781,node,40.8434601,29.4046316,transport,bus_stop,Menekşe Sokak,,,,bus_stop,platform,
6197154782,node,40.8404848,29.4063274,transport,bus_stop,541.Sokak,,,,bus_stop,platform,
6197154783,node,40.8384258,29.4075586,transport,bus_stop,542.Sokak,,,,bus_stop,platform,
6197154784,node,40.8368904,29.4083126,transport,bus_stop,543.sokak,,,,bus_stop,platform,
6197165385,node,40.83608,29.408129,transport,bus_stop,Çayırova İtfaiye,,,,bus_stop,platform,
6197265387,node,40.836489,29.403573,transport,bus_stop,Kuştepe Mesire Alanı,,,,bus_stop,platform,
6197265388,node,40.837734,29.40134,transport,bus_stop,Çayırova Stadyumu,,,,bus_stop,platform,
6197279344,node,40.837468,29.401519,transport,bus_stop,Çayırova Stadyumu,,,,bus_stop,platform,
6197279345,node,40.8363089,29.4040173,transport,bus_stop,Kuştepe Mesire Alanı,,,,bus_stop,platform,
6197279346,node,40.835895,29.40804,transport,bus_stop,Çayırova İtfaiye,,,,bus_stop,platform,
6197279347,node,40.836996,29.408602,transport,bus_stop,543.sokak,,,,bus_stop,platform,
6197279348,node,40.838695,29.407863,transport,bus_stop,542. Sokak,,,,bus_stop,platform,
6197279349,node,40.840697,29.406587,transport,bus_stop,541.Sokak,,,,bus_stop,platform,
6197279350,node,40.8443339,29.4046599,transport,bus_stop,Menekşe Sokak,,,,bus_stop,platform,
6197279351,node,40.8471858,29.4048866,transport,bus_stop,Rezene Sokak,,,,bus_stop,platform,
6197279352,node,40.850046,29.404682,transport,bus_stop,Sarmaşık Sokak,,,,bus_stop,platform,
6197279353,node,40.852551,29.404311,transport,bus_stop,Esenkaya Sokak,,,,bus_stop,platform,
6197279354,node,40.854609,29.402064,transport,bus_stop,Sevda Sokak,,,,bus_stop,platform,
6326842323,node,40.6890391,30.2379774,daily,convenience,Migros Jet,,convenience,,,,
6336159224,node,40.7637905,29.9199298,daily,supermarket,Büfe,,supermarket,,,,
6405267287,node,40.7621845,29.810204,daily,restaurant,Glutensiz Bizim Mutfak,restaurant,,,,,
6419544686,node,40.7633748,29.9332666,daily,cafe,Sommario Coffee Company,cafe,,,,,
6430193586,node,40.7097721,29.9650788,daily,restaurant,,restaurant,,,,,
6432807496,node,40.7141564,29.9147604,daily,restaurant,The Latife,restaurant,,,,,
6445056331,node,40.7463954,29.9468359,health,clinic,42 Evler Aile Sağlığı Merkezi,clinic,,,,,
6445056332,node,40.782607,29.4068991,health,clinic,Abdi İpekçi Aile Sağlığı Merkezi,clinic,,,,,
6445056333,node,40.7172951,30.1135522,health,clinic,Acısu Nuran Turfanda Aile Sağlığı Merkezi,clinic,,,,,
6445715275,node,40.6913973,29.6178413,transport,bus_station,Karamürsel Terminali,bus_station,,,,station,
