county,model,feature,importance
Başiskele,extra_trees,num__distance_to_sea_m,0.001430655130294966
Başiskele,extra_trees,cat__m2_group_76-100,0.0014305108600605012
Başiskele,extra_trees,num__view_score,0.0014213116687099656
Başiskele,extra_trees,num__demo_residential_density,0.0013907397235858347
Başiskele,extra_trees,num__is_middle_floor,0.001377082633439249
Başiskele,extra_trees,num__lon_centered_county,0.0013744054655897315
Başiskele,extra_trees,num__distance_to_karamursel_center_m,0.0013697338460055427
Başiskele,extra_trees,num__detail_inside_count,0.0013635958422153816
Başiskele,extra_trees,cat__building_age_group_11-15 arası,0.0013509852540014554
Başiskele,extra_trees,num__attr_quality_x_district_median,0.0013486939320902422
Başiskele,extra_trees,num__basiskele_has_social_luxury_signal,0.0013476182244934415
Başiskele,extra_trees,num__bearing_from_county_centroid_sin,0.00134131542389944
Başiskele,extra_trees,cat__room_count_2+1,0.0013236643632829194
Başiskele,extra_trees,cat__detail_cephe_Doğu|Güney|Kuzey,0.0013063393007671726
Başiskele,extra_trees,num__basiskele_premium_x_new_building,0.0012915436293861827
Başiskele,extra_trees,num__distance_to_golcuk_center_m,0.0012858461245399606
Başiskele,extra_trees,num__detail_selected_count,0.0012805871294419612
Başiskele,extra_trees,cat__furnished_Belirtilmemiş,0.0012744182048998688
Başiskele,extra_trees,num__basiskele_premium_bucket_mid,0.0012690698500137157
Başiskele,extra_trees,num__detail_quality_score,0.0012635063604502954
Başiskele,extra_trees,num__demo_atm_per_10k,0.0012587291632128437
Başiskele,extra_trees,cat__building_age_group_6-10 arası,0.0012505015999872374
Başiskele,extra_trees,num__attr_is_ground_or_below,0.0012472205589433465
Başiskele,extra_trees,num__large_home_m2_excess,0.0012403894464969127
Başiskele,extra_trees,cat__detail_cephe_Doğu|Güney,0.0012164221900095265
Başiskele,extra_trees,cat__detail_manzara_Doğa|Park & Yeşil Alan|Şehir,0.0012122891347667514
Başiskele,extra_trees,cat__district_Fatih Mah.,0.0012023672063902141
Başiskele,extra_trees,num__demo_vehicle_per_capita,0.0011993853590622596
Başiskele,extra_trees,num__demo_population_density,0.001189452328503232
Başiskele,extra_trees,cat__geo_cluster_x_room_count_missing||3+1,0.0011878911782020366
